Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
Josh Richardson,SG,25,Miami Heat,73,2539,14.0,0.536,0.44799999999999995,0.225,2.3,8.8,5.5,17.9,1.5,1.2,9.1,20.9,3.0,2.6,5.6,0.106,1.0,-0.4,0.6,1.7,9367200,9367200,10100000,10800000,11600000,0,0
Austin Rivers,SG,26,Houston Rockets,47,1345,8.2,0.511,0.585,0.13,1.2,6.4,3.7,11.7,1.1,0.8,7.4,13.9,0.8,0.6,1.4,0.05,-1.4,-1.5,-2.9,-0.3,3329641,1155323,0,0,0,0,0
Duncan Robinson,PF,24,Miami Heat,15,161,7.6,0.514,0.7609999999999999,0.13,1.3,11.2,6.3,4.4,1.5,0.0,7.6,14.0,0.0,0.2,0.2,0.051,-2.6,-1.6,-4.2,-0.1,1009474,9474,1416852,1663861,0,0,0
Glenn Robinson,SF,25,Detroit Pistons,47,610,8.7,0.511,0.35200000000000004,0.22699999999999998,2.9,10.0,6.4,5.1,1.1,1.1,8.5,15.0,0.1,0.6,0.7,0.054000000000000006,-3.5,-0.8,-4.2,-0.3,4075000,4075000,0,0,0,0,0
Jerome Robinson,SG,21,Los Angeles Clippers,33,320,7.2,0.491,0.518,0.08199999999999999,1.0,12.2,6.8,8.3,1.6,0.7,10.2,16.7,-0.2,0.3,0.1,0.012,-2.8,-1.5,-4.3,-0.2,6613920,3046200,3567720,3737520,5340916,0,0
Mitchell Robinson,C,20,New York Knicks,66,1360,22.0,0.6920000000000001,0.0,0.46399999999999997,13.3,19.4,16.3,4.2,1.8,10.0,9.1,12.1,4.0,2.2,6.1,0.217,0.5,5.2,5.7,2.7,3045152,1485440,1559712,1663861,1802057,0,0
Rajon Rondo,PG,32,Los Angeles Lakers,46,1369,12.1,0.473,0.32899999999999996,0.083,2.6,15.5,9.2,35.5,1.9,0.4,22.1,17.4,-0.2,1.5,1.3,0.047,-2.0,0.5,-1.6,0.1,11564753,9000000,0,0,0,0,0
Derrick Rose,PG,30,Minnesota Timberwolves,51,1392,19.5,0.557,0.19399999999999998,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,2.6,0.3,3.0,0.102,2.3,-2.9,-0.6,0.5,2176260,2176260,0,0,0,0,0
Terrence Ross,SG,27,Orlando Magic,81,2150,15.4,0.561,0.551,0.14,1.3,12.8,7.0,9.9,1.6,1.1,7.6,23.9,1.7,2.6,4.3,0.095,1.0,-1.3,-0.3,0.9,60500000,10500000,0,0,0,0,0
Terry Rozier,PG,24,Boston Celtics,79,1791,12.9,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.6,0.9,2.3,3.2,0.086,-1.0,0.2,-0.7,0.6,3050390,3050390,0,0,0,0,0
Ricky Rubio,PG,28,Utah Jazz,68,1899,14.0,0.52,0.348,0.312,1.9,11.8,6.9,32.1,2.3,0.4,17.8,22.7,0.9,2.8,3.7,0.095,-0.6,0.6,0.0,0.9,14975000,14975000,0,0,0,0,0
D'Angelo Russell,PG,22,Brooklyn Nets,81,2448,19.4,0.5329999999999999,0.419,0.135,2.3,11.2,6.8,41.3,1.9,0.6,13.6,31.9,2.4,2.6,5.0,0.09699999999999999,3.9,-0.5,3.4,3.3,7019698,7019698,0,0,0,0,0
Domantas Sabonis,C,22,Indiana Pacers,74,1838,21.9,0.63,0.024,0.41600000000000004,11.5,29.8,20.8,18.2,1.3,1.5,16.2,23.5,4.3,3.3,7.6,0.19699999999999998,1.5,2.2,3.7,2.6,6189355,2659800,3529555,0,0,0,0
JaKarr Sampson,SF,25,Chicago Bulls,4,127,22.5,0.633,0.259,0.389,4.2,23.4,13.7,5.3,1.5,2.0,5.9,23.1,0.3,0.1,0.5,0.17300000000000001,0.6,-2.0,-1.5,0.0,88531,88531,0,0,0,0,0
Dario Šarić,PF,24,Minnesota Timberwolves,68,1627,14.3,0.579,0.449,0.213,6.8,17.7,12.2,8.8,1.2,0.3,10.5,17.8,2.4,0.9,3.3,0.099,1.0,-1.4,-0.4,0.7,2526840,2526840,3481986,0,0,0,0
Tomáš Satoranský,PG,27,Washington Wizards,80,2164,14.1,0.59,0.306,0.302,4.0,10.0,7.0,24.6,1.8,0.5,16.7,14.1,3.8,0.9,4.7,0.10400000000000001,0.4,-1.0,-0.6,0.8,3129187,3129187,0,0,0,0,0
Dennis Schröder,PG,25,Oklahoma City Thunder,79,2314,12.7,0.508,0.33,0.20600000000000002,1.6,11.3,6.3,20.4,1.3,0.4,12.5,24.2,0.4,2.4,2.9,0.06,-1.6,-1.5,-3.1,-0.6,46500000,15500000,15500000,15500000,0,0,0
Mike Scott,PF,30,Philadelphia 76ers,27,647,7.7,0.537,0.626,0.079,3.2,13.2,8.3,4.6,0.7,0.6,8.0,13.8,0.2,0.5,0.7,0.052000000000000005,-1.4,-1.7,-3.1,-0.2,14092850,4320500,0,0,0,0,0
Thabo Sefolosha,SF,34,Utah Jazz,50,609,12.1,0.599,0.523,0.14800000000000002,1.4,20.1,10.9,6.1,3.4,0.7,13.6,12.9,0.2,1.2,1.5,0.115,-2.0,2.6,0.6,0.4,5250000,5250000,0,0,0,0,0
Wayne Selden,SG,24,Chicago Bulls,43,984,8.1,0.489,0.345,0.196,2.3,12.8,7.5,10.8,1.1,0.6,13.8,18.0,-0.8,0.4,-0.4,-0.019,-3.7,-1.4,-5.1,-0.8,1544951,1544951,0,0,0,0,0
Collin Sexton,PG,20,Cleveland Cavaliers,82,2605,12.0,0.52,0.245,0.21100000000000002,2.3,8.0,5.0,15.3,0.8,0.2,12.3,25.2,-0.1,-0.5,-0.6,-0.011000000000000001,-1.5,-3.7,-5.2,-2.1,8833560,4068600,4764960,4991880,6349671,0,0
Landry Shamet,SG,21,Los Angeles Clippers,25,694,11.3,0.601,0.7190000000000001,0.18600000000000003,1.1,7.3,4.3,11.5,0.9,0.2,7.7,15.0,1.1,0.3,1.4,0.094,2.1,-2.3,-0.2,0.3,3698760,1703640,1995120,2090040,3768342,0,0
Iman Shumpert,SG,28,Houston Rockets,20,382,6.3,0.456,0.7240000000000001,0.040999999999999995,2.3,13.6,7.8,7.6,1.5,0.9,10.7,12.7,-0.2,0.3,0.2,0.019,-3.4,-0.5,-3.8,-0.2,11011234,11011234,0,0,0,0,0
Pascal Siakam,PF,24,Toronto Raptors,80,2548,18.7,0.628,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,5.7,3.6,9.3,0.175,2.0,1.4,3.4,3.5,3896790,1544951,2351839,0,0,0,0
Ben Simmons,PG,22,Philadelphia 76ers,79,2700,20.0,0.5820000000000001,0.006,0.446,6.9,20.0,13.7,34.2,2.0,1.8,19.3,22.1,4.6,3.6,8.2,0.146,1.4,2.6,4.1,4.1,184198450,6434520,8113930,29250000,31590000,33930000,36270000
Jonathon Simmons,SF,29,Philadelphia 76ers,15,219,12.9,0.5529999999999999,0.32799999999999996,0.391,2.0,10.3,6.3,20.7,2.4,0.4,13.8,16.7,0.2,0.2,0.5,0.10099999999999999,-1.1,-1.0,-2.1,0.0,6000000,6000000,1000000,0,0,0,0
Anfernee Simons,SG,19,Portland Trail Blazers,20,141,11.1,0.535,0.46,0.254,2.3,7.4,4.9,13.7,0.3,0.0,13.6,24.3,0.0,0.0,0.1,0.02,-1.6,-4.7,-6.3,-0.2,3985080,1835520,2149560,2252040,3938818,0,0
Marcus Smart,SG,24,Boston Celtics,80,2200,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,2.2,3.1,5.3,0.11599999999999999,0.6,1.3,1.8,2.1,51999900,11660716,12553471,13446428,14339285,0,0
Dennis Smith,PG,21,New York Knicks,21,600,13.5,0.473,0.28300000000000003,0.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27.0,-0.5,0.3,-0.2,-0.013999999999999999,-0.9,-1.8,-2.7,-0.1,8283600,3819960,4463640,5686677,0,0,0
Ish Smith,PG,30,Detroit Pistons,56,1251,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.7,-1.1,-2.8,-0.2,6000000,6000000,0,0,0,0,0
J.R. Smith,SG,33,Cleveland Cavaliers,11,222,7.8,0.444,0.494,0.127,0.0,9.4,4.5,13.8,2.5,1.2,11.7,18.6,-0.3,0.1,-0.2,-0.038,-3.5,-1.7,-5.2,-0.2,19090000,14720000,1456667,1456667,1456666,0,0
Jason Smith,C,32,New Orleans Pelicans,2,20,4.6,0.405,0.778,0.222,10.5,10.2,10.4,6.2,0.0,0.0,9.2,22.3,0.0,0.0,0.0,-0.049,-2.6,-5.8,-8.4,0.0,5450000,5450000,0,0,0,0,0
Zhaire Smith,SG,19,Philadelphia 76ers,6,111,9.5,0.5329999999999999,0.47100000000000003,0.235,2.9,9.3,6.2,12.3,0.9,1.4,13.8,16.4,0.0,0.1,0.1,0.048,-2.3,-1.7,-4.0,-0.1,5670600,2611800,3058800,3204600,4915856,0,0
Tony Snell,SF,27,Milwaukee Bucks,74,1304,10.7,0.585,0.565,0.11599999999999999,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.11699999999999999,-0.7,-0.4,-1.0,0.3,10607143,10607143,11392857,12178571,0,0,0
Ray Spalding,PF,21,Phoenix Suns,13,147,14.7,0.516,0.064,0.255,11.1,25.3,18.1,5.2,2.9,4.5,14.7,17.9,0.0,0.2,0.2,0.051,-4.7,1.4,-3.4,-0.1,232117,232117,0,0,0,0,0
Omari Spellman,PF,21,Atlanta Hawks,46,805,12.4,0.516,0.525,0.184,9.2,16.3,12.7,8.0,1.5,2.7,10.5,14.9,0.6,0.5,1.2,0.07,-1.0,0.0,-1.0,0.2,1620480,1620480,1897800,1988280,3588845,0,0
Nik Stauskas,SG,25,Cleveland Cavaliers,24,342,11.3,0.544,0.578,0.257,2.5,13.2,7.6,8.0,1.0,0.8,8.3,16.9,0.3,0.0,0.3,0.046,-1.0,-3.0,-4.0,-0.2,540472,540472,0,0,0,0,0
Lance Stephenson,SG,28,Los Angeles Lakers,68,1123,11.8,0.529,0.456,0.16899999999999998,3.0,16.5,9.9,17.3,1.7,0.5,15.6,20.3,-0.1,1.2,1.1,0.049,-1.7,-0.4,-2.1,0.0,4449000,4449000,0,0,0,0,0
Edmond Sumner,PG,23,Indiana Pacers,23,210,7.6,0.44299999999999995,0.42200000000000004,0.375,4.9,7.8,6.3,6.3,2.8,2.1,11.8,17.6,-0.2,0.3,0.1,0.02,-4.1,0.5,-3.6,-0.1,449794,449794,0,0,0,0,0
Caleb Swanigan,PF,21,Sacramento Kings,3,33,11.7,0.405,0.222,0.222,12.2,25.6,18.7,15.6,2.8,2.6,16.8,14.9,0.0,0.1,0.0,0.053,-3.4,3.1,-0.2,0.0,3773160,1740000,2033160,3665787,0,0,0
Jayson Tatum,SF,20,Boston Celtics,79,2455,15.1,0.547,0.3,0.22,3.0,17.7,10.4,10.0,1.6,2.1,9.7,22.1,1.6,3.4,5.0,0.09699999999999999,-1.4,0.6,-0.8,0.8,14530800,6700800,7830000,9897120,0,0,0
Jeff Teague,PG,30,Minnesota Timberwolves,42,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.0,-2.4,-2.4,-0.1,38000000,19000000,19000000,0,0,0,0
Garrett Temple,SG,32,Los Angeles Clippers,26,510,8.0,0.514,0.509,0.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,0.2,0.5,0.6,0.061,-1.3,0.8,-0.4,0.2,8000000,8000000,0,0,0,0,0
Miloš Teodosić,PG,31,Los Angeles Clippers,15,150,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18.0,-0.1,0.1,-0.1,-0.019,-2.9,-3.2,-6.1,-0.2,6300000,6300000,0,0,0,0,0
Emanuel Terry,PF,22,Phoenix Suns,2,20,19.9,0.654,0.0,0.33299999999999996,10.9,22.5,16.6,8.0,7.2,0.0,22.5,19.1,0.0,0.0,0.1,0.127,-1.3,2.9,1.6,0.0,47371,47371,0,0,0,0,0
Daniel Theis,C,26,Boston Celtics,66,908,17.0,0.624,0.252,0.28600000000000003,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.3,3.5,0.188,0.8,1.5,2.3,1.0,6378242,1378242,0,0,0,0,0
Isaiah Thomas,SG,29,Denver Nuggets,12,181,7.0,0.43700000000000006,0.434,0.273,3.0,4.8,3.9,18.6,1.4,0.5,14.0,30.4,-0.4,0.1,-0.3,-0.077,-4.5,-4.2,-8.7,-0.3,2029463,2029463,0,0,0,0,0
Khyri Thomas,SG,22,Detroit Pistons,26,195,6.2,0.413,0.507,0.159,2.2,9.3,5.6,6.0,1.8,2.2,5.1,17.2,-0.2,0.2,0.0,0.005,-4.7,-0.5,-5.2,-0.2,1676928,838464,838464,1663861,0,0,0
Lance Thomas,PF,30,New York Knicks,46,783,6.4,0.48200000000000004,0.401,0.183,2.7,13.1,7.8,5.0,1.0,0.8,10.1,12.9,-0.3,0.3,0.1,0.004,-4.1,-1.2,-5.3,-0.7,7119650,7119650,0,0,0,0,0
Klay Thompson,SG,28,Golden State Warriors,78,2652,16.6,0.5710000000000001,0.42700000000000005,0.113,1.6,10.1,6.0,10.5,1.5,1.5,7.2,25.6,2.9,2.3,5.3,0.095,1.2,-2.0,-0.8,0.8,208892325,18988725,0,0,0,0,0
Tristan Thompson,C,27,Cleveland Cavaliers,43,1198,18.4,0.551,0.0,0.27899999999999997,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,2.1,0.5,2.6,0.105,0.2,0.1,0.3,0.7,36008695,17469565,18539130,0,0,0,0
Sindarius Thornwell,SG,24,Los Angeles Clippers,64,313,5.2,0.485,0.306,0.6940000000000001,1.7,12.8,7.5,7.2,2.1,1.8,23.8,11.3,-0.3,0.3,0.0,0.004,-5.1,1.1,-4.0,-0.2,1378242,1378242,0,0,0,0,0
Anthony Tolliver,PF,33,Minnesota Timberwolves,65,1079,8.6,0.5710000000000001,0.83,0.23199999999999998,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.052000000000000005,-1.2,-1.0,-2.2,-0.1,5750000,5750000,0,0,0,0,0
Karl-Anthony Towns,C,23,Minnesota Timberwolves,77,2545,26.3,0.622,0.27,0.342,10.9,29.3,20.0,17.2,1.3,4.2,13.7,28.9,7.2,3.2,10.4,0.19699999999999998,4.8,2.0,6.8,5.7,163709435,7839435,27250000,29430000,31610000,33790000,35970000
Gary Trent,SG,20,Portland Trail Blazers,15,111,3.6,0.377,0.42,0.14,1.0,9.4,5.3,6.2,0.4,1.4,7.0,21.7,-0.3,0.1,-0.2,-0.092,-6.7,-3.6,-10.3,-0.2,3919177,838464,1416852,1663861,0,0,0
Allonzo Trier,SG,23,New York Knicks,64,1459,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-2.2,-2.0,-4.2,-0.8,6933100,3382000,3551100,0,0,0,0
P.J. Tucker,PF,33,Houston Rockets,82,2802,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2.0,3.0,5.0,0.086,-0.5,1.8,1.3,2.3,18887764,7969537,8349039,7969537,0,0,0
Evan Turner,PG,30,Portland Trail Blazers,73,1605,11.6,0.504,0.11699999999999999,0.239,2.5,18.9,10.9,23.6,1.0,0.9,18.9,15.9,0.5,1.5,2.0,0.06,-2.5,0.7,-1.8,0.1,17868852,17868852,18606557,0,0,0,0
Myles Turner,C,22,Indiana Pacers,74,2119,18.0,0.5670000000000001,0.251,0.258,5.4,22.0,13.9,8.0,1.4,8.4,10.3,20.0,1.9,4.4,6.3,0.14400000000000002,-1.4,4.7,3.3,2.8,75410284,3410284,18000000,18000000,18000000,18000000,0
Ekpe Udoh,C,31,Utah Jazz,51,320,20.9,0.698,0.0,0.41700000000000004,9.3,20.9,15.2,12.8,1.5,7.7,13.2,13.1,0.9,0.7,1.6,0.23800000000000002,-0.1,5.7,5.6,0.6,3360000,3360000,0,0,0,0,0
Jonas Valančiūnas,C,26,Memphis Grizzlies,19,527,24.4,0.594,0.065,0.326,10.9,32.7,21.6,15.7,0.6,5.4,13.8,31.4,0.7,0.9,1.5,0.14,-0.4,2.0,1.6,0.5,61539326,16539326,0,0,0,0,0
Jarred Vanderbilt,PF,19,Denver Nuggets,17,69,12.4,0.513,0.053,0.526,10.9,25.2,18.0,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037000000000000005,-6.1,2.1,-4.0,0.0,2255316,838464,1416852,1663861,0,0,0
Fred VanVleet,PG,24,Toronto Raptors,64,1760,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.11699999999999999,0.7,-0.7,0.0,0.9,17653847,8653847,9000000,0,0,0,0
Noah Vonleh,PF,23,New York Knicks,68,1722,13.9,0.561,0.311,0.355,6.7,25.8,16.0,11.1,1.3,2.5,14.7,14.8,1.5,1.7,3.2,0.09,-1.6,1.6,0.0,0.9,1621415,1621415,0,0,0,0,0
Nikola Vučević,C,28,Orlando Magic,80,2510,25.5,0.573,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3.0,9.9,28.0,5.4,4.7,10.1,0.193,3.0,3.4,6.4,5.3,112750000,12750000,0,0,0,0,0
Dwyane Wade,SG,37,Miami Heat,72,1885,15.8,0.51,0.272,0.243,3.9,12.2,8.0,26.5,1.5,1.8,13.5,27.9,0.1,2.3,2.4,0.061,-0.4,0.0,-0.5,0.7,2393887,2393887,0,0,0,0,0
Moritz Wagner,C,21,Los Angeles Lakers,43,446,10.1,0.5329999999999999,0.45,0.31,4.0,15.4,9.8,7.4,1.1,2.4,16.7,21.7,-0.3,0.5,0.2,0.02,-4.0,-1.1,-5.1,-0.3,1762080,1762080,2063520,3893618,2161920,0,0
Dion Waiters,SG,27,Miami Heat,44,1138,11.4,0.53,0.605,0.092,0.7,10.2,5.4,16.4,1.2,0.7,11.4,21.1,0.1,1.1,1.2,0.052000000000000005,-0.3,-1.6,-1.9,0.0,36300000,11550000,12100000,12650000,0,0,0
Kemba Walker,PG,28,Charlotte Hornets,82,2863,21.7,0.5579999999999999,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1.0,10.1,31.5,5.5,1.9,7.4,0.12300000000000001,5.1,-1.7,3.3,3.9,12000000,12000000,0,0,0,0,0
Lonnie Walker,SG,20,San Antonio Spurs,17,118,10.8,0.446,0.28300000000000003,0.217,0.0,15.6,7.9,10.3,2.9,2.2,7.4,20.3,-0.1,0.2,0.0,0.019,-4.7,0.3,-4.4,-0.1,5117640,2357160,2760480,2892000,4447896,0,0
John Wall,PG,28,Washington Wizards,32,1104,18.0,0.527,0.306,0.317,1.5,10.1,5.7,39.2,2.1,2.2,16.1,28.8,0.5,0.7,1.2,0.051,1.1,-1.2,-0.2,0.5,141641800,19169800,37800000,40824000,43848000,46872000,0
Tyrone Wallace,PG,24,Los Angeles Clippers,62,628,7.0,0.45,0.08800000000000001,0.263,3.5,13.2,8.5,9.5,1.6,0.9,12.9,18.7,-0.8,0.5,-0.3,-0.023,-5.5,-0.9,-6.3,-0.7,1349383,1349383,1588231,0,0,0,0
Taurean Waller-Prince,SF,24,Atlanta Hawks,55,1552,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-0.4,-1.5,-1.9,0.0,2526840,2526840,3481986,0,0,0,0
Brad Wanamaker,PG,29,Boston Celtics,36,343,14.3,0.597,0.371,0.267,0.9,11.8,6.4,22.5,1.7,0.5,13.9,17.1,0.6,0.4,1.0,0.134,-0.8,-1.4,-2.2,0.0,2284161,838464,0,0,0,0,0
T.J. Warren,SF,25,Phoenix Suns,43,1360,16.3,0.58,0.295,0.203,2.5,11.8,7.1,7.7,1.8,1.8,7.2,22.7,1.6,0.5,2.1,0.07400000000000001,0.1,-1.8,-1.7,0.1,11750000,11750000,10810000,11750000,12690000,0,0
Russell Westbrook,PG,30,Oklahoma City Thunder,73,2630,21.1,0.501,0.27899999999999997,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,1.8,5.0,6.8,0.124,2.5,3.9,6.5,5.6,35654150,35654150,38178000,41006000,43848000,46662000,0
Derrick White,PG,24,San Antonio Spurs,67,1728,14.8,0.555,0.262,0.22699999999999998,2.2,13.3,7.8,21.0,1.9,2.3,14.0,17.7,1.7,1.9,3.6,0.10099999999999999,-0.2,1.1,0.9,1.3,3615240,1667160,1948080,3516284,0,0,0
Okaro White,PF,26,Washington Wizards,3,6,-4.5,0.0,1.0,0.0,17.8,18.4,18.1,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,-0.251,-11.0,-8.2,-19.2,0.0,264919,264919,0,0,0,0,0
Hassan Whiteside,C,29,Miami Heat,72,1674,23.5,0.564,0.024,0.35700000000000004,16.3,35.6,25.9,5.6,1.3,7.3,11.0,22.6,2.3,4.0,6.3,0.18,-2.2,3.0,0.8,1.2,25434263,25434263,27093018,0,0,0,0
Andrew Wiggins,SF,23,Minnesota Timberwolves,73,2543,12.4,0.493,0.28800000000000003,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.7,-1.3,-2.9,-0.6,146667250,25467250,27270000,29290000,31310000,33330000,0
Kenrich Williams,SF,24,New Orleans Pelicans,46,1079,9.7,0.485,0.5589999999999999,0.068,5.4,15.5,10.5,9.5,1.9,1.4,11.1,12.3,0.3,0.9,1.2,0.053,-1.2,0.9,-0.3,0.5,1038464,838464,1443842,0,0,0,0
Lou Williams,SG,32,Los Angeles Clippers,75,1993,21.2,0.5539999999999999,0.256,0.426,2.2,9.4,5.9,33.0,1.3,0.4,11.8,32.4,3.9,1.2,5.1,0.12300000000000001,3.1,-2.6,0.4,1.2,24000000,8000000,8000000,8000000,0,0,0
Marvin Williams,PF,32,Charlotte Hornets,75,2133,12.6,0.5479999999999999,0.586,0.132,3.8,17.1,10.3,6.1,1.6,2.5,6.4,14.9,1.9,1.9,3.8,0.086,-0.2,0.5,0.3,1.3,29093750,14087500,15006250,0,0,0,0
Robert Williams,C,21,Boston Celtics,32,283,18.8,0.703,0.0,0.294,10.2,20.4,15.3,3.3,1.5,12.5,14.8,10.3,0.5,0.6,1.2,0.201,-2.4,6.7,4.4,0.5,3591960,1654440,1937520,2029920,3661976,0,0
D.J. Wilson,PF,22,Milwaukee Bucks,48,882,10.3,0.515,0.506,0.187,5.5,19.2,12.8,7.6,0.9,1.9,10.5,14.4,0.3,1.4,1.7,0.09300000000000001,-2.4,0.9,-1.6,0.1,5495400,2534280,2961120,4548280,0,0,0
Justise Winslow,SF,22,Miami Heat,66,1959,12.8,0.513,0.342,0.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,0.2,2.6,2.8,0.067,-1.1,1.0,-0.1,1.0,29448926,3448926,13000000,13000000,13000000,0,0
Christian Wood,PF,23,New Orleans Pelicans,8,189,23.4,0.613,0.228,0.446,7.2,27.0,17.3,4.9,1.7,4.3,11.3,26.9,0.3,0.3,0.6,0.152,-0.9,-1.0,-1.9,0.0,1512601,1512601,1645357,0,0,0,0
Delon Wright,PG,26,Memphis Grizzlies,26,802,16.6,0.519,0.294,0.336,4.0,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2.0,0.11900000000000001,0.3,1.9,2.2,0.8,2536898,2536898,0,0,0,0,0
Guerschon Yabusele,PF,23,Boston Celtics,41,251,12.4,0.542,0.364,0.28600000000000003,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,0.2,0.3,0.5,0.09,-2.1,-0.1,-2.1,0.0,5784840,2667600,3117240,0,0,0,0
Nick Young,SG,33,Denver Nuggets,4,37,2.3,0.5,0.889,0.0,0.0,2.9,1.5,6.8,0.0,2.4,18.2,12.7,0.0,0.0,0.0,-0.021,-4.4,-2.6,-7.0,0.0,311070,311070,0,0,0,0,0
Thaddeus Young,PF,30,Indiana Pacers,81,2489,16.2,0.569,0.174,0.161,8.7,14.4,11.7,12.0,2.4,1.3,12.0,18.0,3.0,3.9,6.9,0.133,0.8,2.1,2.9,3.1,13764045,13764045,0,0,0,0,0
Trae Young,PG,20,Atlanta Hawks,81,2503,17.0,0.539,0.384,0.33,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,2.5,0.7,3.3,0.062,1.8,-2.8,-1.1,0.6,11629440,5356440,6273000,6571800,8326471,0,0
Cody Zeller,C,26,Charlotte Hornets,49,1243,17.2,0.611,0.064,0.409,9.4,19.7,14.5,12.1,1.5,2.9,13.2,16.3,2.6,1.2,3.9,0.15,0.2,1.7,2.0,1.2,43415730,13528090,14471910,15415730,0,0,0
Tyler Zeller,C,29,Atlanta Hawks,2,11,1.5,0.0,0.5,0.0,18.7,39.1,28.7,10.6,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-0.013000000000000001,-6.8,-0.4,-7.2,0.0,106974,106974,0,0,0,0,0
Tyler Zeller,C,29,Memphis Grizzlies,4,82,19.4,0.64,0.0,0.643,12.1,12.5,12.3,6.2,0.6,3.5,10.0,21.8,0.2,0.1,0.3,0.191,-0.3,-1.3,-1.5,0.0,64185,64185,0,0,0,0,0
Ante Žižić,C,22,Cleveland Cavaliers,59,1082,16.2,0.59,0.0,0.39899999999999997,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2.0,0.087,-1.7,-1.4,-3.1,-0.3,4234560,1952760,2281800,3872215,0,0,0
Ivica Zubac,C,21,Los Angeles Clippers,26,524,18.3,0.574,0.0,0.32299999999999995,12.7,27.2,20.2,10.9,0.9,3.6,14.8,20.1,0.7,0.7,1.4,0.132,-1.2,1.5,0.3,0.3,22544951,1544951,0,0,0,0,0
