PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Anthony Davis,NOP,26,56,25,31,33.0,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17.0,7.3,54.0,59.7,28.8,103.73,19.7
Ish Smith,DET,30,56,33,23,22.3,110.8,108.1,2.7,24.3,3.33,26.0,1.7,9.7,5.5,7.8,46.4,48.5,19.3,98.67,8.6
Jonathon Simmons,PHI,29,56,25,31,19.0,101.9,107.2,-5.3,17.5,1.88,21.8,2.4,9.0,5.7,11.6,42.0,46.6,18.2,102.38,6.0
Otto Porter Jr.,CHI,26,56,25,31,30.1,111.2,111.6,-0.4,10.0,1.85,13.9,3.1,15.3,9.2,7.5,54.6,56.9,18.5,103.07,10.3
Semi Ojeleye,BOS,24,56,39,17,10.6,106.3,100.2,6.0,5.4,1.21,10.6,3.8,9.3,6.7,8.7,51.3,53.1,13.7,101.90,5.7
Shabazz Napier,BKN,27,56,26,30,17.6,105.6,104.3,1.3,23.5,2.17,20.3,1.7,7.9,4.7,9.4,47.6,53.4,23.4,102.80,10.6
Tony Parker,CHA,37,56,30,26,17.9,107.4,107.5,-0.1,33.1,2.76,25.9,1.3,6.7,4.0,9.4,47.4,51.2,24.7,101.52,10.9
James Johnson,MIA,32,55,27,28,21.2,103.2,107.9,-4.6,16.7,1.82,21.8,1.8,12.3,7.1,12.0,49.9,52.2,17.7,99.11,7.9
LeBron James,LAL,34,55,28,27,35.2,109.6,107.6,2.0,37.6,2.30,23.6,2.9,19.3,11.4,10.2,56.0,58.8,31.1,104.12,18.8
Taurean Prince,ATL,25,55,19,36,28.2,108.4,115.4,-6.9,10.7,1.18,13.8,1.3,11.0,6.0,11.7,54.5,57.5,19.0,106.26,7.5
Tyson Chandler,LAL,36,55,26,29,15.9,102.5,104.4,-1.9,5.7,0.88,16.8,9.4,21.3,15.4,19.1,61.6,63.0,8.4,105.25,8.5
Bismack Biyombo,CHA,26,54,24,30,14.5,104.1,111.8,-7.7,6.4,0.97,12.5,9.9,20.5,15.1,12.9,57.1,60.2,12.8,98.68,8.5
CJ Miles,MEM,32,53,33,20,16.2,103.8,105.5,-1.7,6.1,1.20,9.0,1.4,9.0,5.1,7.5,46.8,50.4,17.3,104.03,5.6
Dennis Smith Jr.,NYK,21,53,21,32,28.5,102.4,107.7,-5.3,27.8,1.64,22.4,2.0,7.5,4.8,13.7,47.9,50.2,24.2,101.30,8.4
E'Twaun Moore,NOP,30,53,21,32,27.6,111.3,111.6,-0.3,9.3,1.73,14.2,2.3,5.8,4.1,8.2,55.3,56.7,17.0,104.07,6.7
Elie Okobo,PHX,21,53,7,46,18.1,101.1,111.1,-9.9,19.8,1.84,25.0,1.2,9.2,5.1,13.6,46.0,48.9,16.8,101.12,5.3
Quincy Pondexter,SAS,31,53,29,24,5.5,99.2,101.4,-2.2,12.1,1.85,20.9,2.8,12.3,7.7,11.3,55.2,64.1,12.9,102.62,9.0
Wayne Ellington,DET,31,53,26,27,24.5,106.7,107.1,-0.5,8.6,1.80,12.3,1.0,7.3,3.9,6.8,55.4,56.9,16.7,98.49,7.5
Brandon Ingram,LAL,21,52,25,27,33.9,107.3,108.8,-1.5,12.7,1.19,13.5,2.2,11.3,6.9,11.3,51.8,55.5,22.7,104.41,9.2
Lauri Markkanen,CHI,22,52,16,36,32.3,106.8,112.3,-5.5,7.0,0.88,7.3,4.3,23.4,13.8,8.2,50.6,55.3,24.5,99.33,12.5
Troy Brown Jr.,WAS,19,52,20,32,14.0,110.0,110.3,-0.3,14.7,2.67,22.0,4.5,14.9,9.5,8.2,46.2,48.7,15.8,103.04,7.7
Amir Johnson,PHI,32,51,32,19,10.4,104.7,109.7,-5.0,15.6,1.33,21.4,8.4,18.5,13.3,16.1,54.1,57.4,16.9,105.63,8.0
Aron Baynes,BOS,32,51,32,19,16.1,110.0,102.2,7.7,9.2,1.43,16.3,10.3,17.5,13.9,11.5,51.8,56.7,14.7,102.92,8.3
David Nwaba,CLE,26,51,14,37,19.3,108.1,111.9,-3.8,7.7,1.86,14.1,3.9,12.8,8.2,7.6,52.7,55.8,14.1,98.51,7.1
Derrick Rose,MIN,30,51,24,27,27.3,111.5,110.8,0.7,24.4,2.68,19.6,2.2,7.0,4.6,7.3,51.8,55.7,26.1,103.61,12.8
Dirk Nowitzki,DAL,41,51,17,34,15.6,104.8,109.7,-4.8,6.8,1.94,7.8,0.6,18.0,9.2,4.0,44.4,46.9,21.7,101.08,7.3
Ekpe Udoh,UTA,32,51,35,16,6.3,102.8,110.5,-7.7,13.1,2.15,22.0,9.0,18.9,14.2,10.2,69.4,69.8,12.8,105.52,12.5
Gary Clark,HOU,24,51,33,18,12.6,111.8,109.8,2.0,4.0,2.57,10.1,3.5,14.4,8.7,3.9,46.7,48.0,10.6,99.73,6.1
Hamidou Diallo,OKC,20,51,29,22,10.3,103.5,110.3,-6.8,4.4,0.74,7.4,6.5,11.0,8.6,10.0,46.7,49.7,16.0,104.11,4.9
Troy Daniels,PHX,27,51,13,38,14.9,104.4,110.8,-6.4,5.2,0.96,7.8,1.6,7.9,4.7,8.1,54.5,55.8,17.1,102.54,5.6
Wilson Chandler,LAC,32,51,35,16,23.1,112.7,108.5,4.2,8.9,1.78,19.9,4.1,13.2,8.9,11.2,52.6,53.7,11.5,103.40,5.6
Aaron Holiday,IND,22,50,31,19,12.9,107.2,100.2,7.0,18.0,2.17,21.2,0.8,8.8,4.9,9.8,48.3,51.8,20.6,103.35,7.8
Bobby Portis,WAS,24,50,14,36,26.0,109.9,114.3,-4.4,8.5,0.97,8.8,8.3,22.6,15.4,9.1,50.4,52.9,24.1,101.85,10.6
De'Anthony Melton,PHX,21,50,13,37,19.7,105.8,113.7,-7.9,21.4,2.12,31.7,2.5,11.4,6.8,14.9,44.7,46.6,14.7,102.18,6.3
Khem Birch,ORL,26,50,26,24,12.9,105.9,102.7,3.2,8.7,1.90,15.4,11.2,16.6,13.8,8.1,60.3,64.0,13.6,101.21,11.6
Thabo Sefolosha,UTA,35,50,28,22,12.2,108.3,99.5,8.8,5.9,1.08,12.7,1.4,18.1,10.2,11.8,59.1,59.9,12.9,101.69,9.8
Timothe Luwawu-Cabarrot,CHI,24,50,25,25,13.4,98.5,112.9,-14.4,5.7,1.24,9.3,1.5,12.5,6.7,7.5,45.9,48.9,15.6,103.35,4.9
Chasson Randle,WAS,26,49,19,30,15.2,104.8,110.6,-5.8,18.2,2.26,25.1,1.3,6.2,3.6,11.1,52.5,55.5,16.0,104.06,5.3
Cody Zeller,CHA,26,49,22,27,25.4,112.3,110.9,1.4,11.4,1.65,17.8,8.4,17.1,12.7,10.8,55.9,61.1,15.9,100.64,10.1
Ivan Rabb,MEM,22,49,20,29,14.7,103.3,109.5,-6.2,12.3,1.54,16.3,9.7,19.7,14.6,10.6,55.4,58.6,16.6,98.51,10.6
Jonas Valanciunas,MEM,27,49,31,18,22.3,109.7,107.0,2.7,10.9,0.78,8.9,9.6,26.8,18.4,11.5,57.2,61.6,27.4,101.77,16.9
Jose Calderon,DET,37,49,22,27,12.9,93.8,107.8,-14.0,28.2,3.29,42.0,1.5,7.8,4.4,12.8,43.3,45.3,10.4,101.32,5.6
D.J. Wilson,MIL,23,48,37,11,18.4,107.0,102.2,4.9,8.0,1.63,14.6,4.7,17.4,11.2,9.0,50.6,51.5,14.1,105.55,7.5
Furkan Korkmaz,PHI,21,48,30,18,14.2,110.7,107.0,3.7,10.7,2.08,15.3,2.3,13.0,7.7,7.4,49.6,52.8,17.4,104.84,7.9
Justin Anderson,ATL,25,48,17,31,9.7,101.9,107.6,-5.7,7.3,1.00,10.6,4.6,11.9,8.2,10.6,48.4,51.6,16.6,109.25,6.7
Matthew Dellavedova,CLE,28,48,20,28,16.9,103.2,107.0,-3.8,32.9,2.66,35.1,0.7,8.1,4.4,13.2,49.6,53.2,17.3,100.73,8.2
Tyler Dorsey,MEM,23,48,11,37,14.5,106.4,108.4,-2.0,11.8,2.07,15.1,3.6,11.8,7.6,7.3,48.9,50.9,18.2,104.34,7.2
Frank Kaminsky,CHA,26,47,22,25,16.1,109.9,109.1,0.9,12.9,1.54,14.1,4.8,16.4,10.4,9.2,54.7,58.7,21.6,100.36,10.6
Glenn Robinson III,DET,25,47,24,23,13.0,102.3,103.1,-0.8,5.3,1.17,9.0,2.6,8.9,5.6,7.7,47.2,51.1,14.6,99.40,5.8
Lonzo Ball,LAL,21,47,25,22,30.3,105.3,106.1,-0.7,23.6,2.48,30.5,3.6,12.4,8.1,12.3,48.8,48.7,16.7,104.67,8.7
Marcin Gortat,LAC,35,47,25,22,16.0,106.0,112.5,-6.5,12.3,1.30,20.1,8.9,25.3,17.2,15.5,53.2,56.2,14.8,99.94,9.7
Mo Bamba,ORL,21,47,19,28,16.3,94.3,109.2,-14.9,8.6,0.91,11.1,7.4,21.3,14.0,12.3,52.5,53.9,17.4,99.70,10.3
Sam Dekker,WAS,25,47,14,33,16.8,106.9,112.2,-5.3,8.1,1.92,13.2,6.4,12.3,9.2,6.9,50.6,51.9,15.7,102.50,8.3
Devonte' Graham,CHA,24,46,18,28,14.7,104.5,111.8,-7.3,26.6,4.03,31.3,1.3,7.8,4.4,7.8,42.1,45.9,16.6,101.10,6.8
Dragan Bender,PHX,21,46,9,37,18.0,104.6,112.7,-8.1,9.4,1.51,17.9,4.0,16.8,10.5,11.9,50.3,52.1,13.0,103.30,6.6
Kenrich Williams,NOP,24,46,17,29,23.5,107.8,111.6,-3.8,9.4,2.31,20.4,4.6,14.5,9.4,8.9,47.7,48.5,11.9,105.77,6.2
Kris Dunn,CHI,25,46,14,32,30.2,106.1,113.7,-7.6,29.0,2.66,30.2,1.3,11.9,6.6,11.4,45.8,48.4,19.8,99.50,8.4
Lance Thomas,NYK,31,46,7,39,17.0,97.1,107.9,-10.9,5.1,1.13,10.2,2.3,11.5,6.8,9.1,45.2,48.2,12.7,102.08,4.3
Luke Kornet,NYK,23,46,9,37,17.0,102.5,106.0,-3.5,10.8,2.16,14.2,3.3,12.3,7.9,6.6,50.2,53.1,17.8,101.94,9.3
Nikola Mirotic,MIL,28,46,24,22,27.1,112.0,108.3,3.7,6.1,1.15,7.9,4.5,19.8,12.3,6.9,54.6,58.4,20.6,106.60,11.6
Omari Spellman,ATL,21,46,15,31,17.5,102.6,112.8,-10.3,8.5,1.52,13.7,8.0,14.4,11.1,9.0,49.2,51.6,14.6,106.88,7.9
Rajon Rondo,LAL,33,46,19,27,29.8,104.7,113.3,-8.6,36.0,2.89,39.0,2.3,14.2,8.3,13.5,46.4,47.3,17.2,104.55,9.9
Kyle O'Quinn,IND,29,45,27,18,8.2,106.7,107.0,-0.3,20.4,1.81,24.0,7.8,21.6,15.1,13.3,51.1,53.7,19.6,103.91,11.1
Chandler Hutchison,CHI,23,44,10,34,20.3,101.9,107.6,-5.6,5.5,1.36,11.9,3.3,16.7,10.0,8.7,49.3,50.7,12.1,100.63,7.3
Dion Waiters,MIA,27,44,20,24,25.9,105.9,107.8,-2.0,16.4,1.89,17.7,0.6,9.4,4.9,9.4,52.8,53.0,21.3,97.84,8.3
Jonah Bolden,PHI,23,44,24,20,14.5,106.2,107.9,-1.8,8.5,1.11,15.9,6.7,17.3,11.9,14.3,59.9,59.5,13.1,106.12,7.2
Solomon Hill,NOP,28,44,14,30,20.0,106.5,113.0,-6.5,8.0,1.77,19.7,3.6,10.2,6.9,11.1,47.2,49.7,10.4,104.60,4.2
Wendell Carter Jr.,CHI,20,44,10,34,25.2,97.8,109.5,-11.7,11.8,1.20,13.9,7.5,19.8,13.6,11.5,49.3,54.1,19.2,99.17,10.0
Allen Crabbe,BKN,27,43,19,24,26.4,106.5,106.2,0.3,5.9,1.00,9.5,1.3,10.8,6.0,9.5,49.9,51.9,15.9,102.62,5.5
Dwayne Bacon,CHA,23,43,20,23,17.6,111.2,113.2,-2.0,9.2,2.61,13.7,1.0,10.5,5.7,5.3,54.9,57.0,16.7,99.59,6.9
Frank Ntilikina,NYK,20,43,9,34,21.0,102.0,110.6,-8.5,19.5,2.16,25.6,1.2,8.0,4.5,11.8,39.5,41.7,16.3,101.94,3.9
Greg Monroe,PHI,29,43,28,15,11.2,100.0,106.7,-6.7,7.9,0.75,8.7,11.9,21.8,16.5,11.6,48.9,52.1,21.1,103.92,10.6
Kyle Anderson,MEM,25,43,19,24,29.8,102.6,104.7,-2.1,15.5,2.21,26.2,3.8,16.1,10.0,11.9,56.0,56.9,12.7,96.78,9.9
Marquese Chriss,CLE,21,43,17,26,11.6,100.6,117.9,-17.3,6.9,0.61,8.5,7.2,21.6,13.8,13.9,41.7,45.5,19.6,100.46,5.4
Moritz Wagner,LAL,22,43,15,28,10.4,95.7,105.5,-9.8,8.4,0.62,9.4,3.5,14.2,8.9,15.3,48.0,53.3,21.0,105.70,6.9
T.J. Warren,PHX,25,43,10,33,31.6,106.4,114.1,-7.7,7.3,1.23,8.2,2.2,10.8,6.4,6.7,54.9,58.0,22.1,101.86,9.9
Tristan Thompson,CLE,28,43,8,35,27.9,106.5,118.8,-12.3,11.0,1.46,15.0,13.7,23.7,18.4,10.3,52.9,55.1,17.5,97.05,12.1
Will Barton,DEN,28,43,27,16,27.7,109.7,109.1,0.6,14.6,1.91,18.3,2.6,13.7,8.1,9.6,47.5,50.1,19.5,100.16,8.0
Dante Exum,UTA,23,42,21,21,15.8,103.8,100.6,3.2,25.1,2.12,24.8,2.4,7.7,5.1,11.7,45.6,51.6,20.7,103.08,8.2
Elfrid Payton,NOP,25,42,18,24,29.8,110.7,112.9,-2.2,31.8,2.86,36.5,3.7,12.9,8.3,12.8,47.5,50.2,17.7,106.18,9.8
Jarell Martin,ORL,25,42,20,22,7.8,106.0,101.6,4.4,7.8,1.64,13.1,3.1,18.5,10.6,8.0,51.0,52.8,15.3,103.06,6.5
Jeff Teague,MIN,31,42,23,19,30.1,113.0,113.1,-0.1,36.6,3.54,37.2,1.2,6.7,3.9,10.5,46.5,52.8,18.6,101.85,10.3
Joakim Noah,MEM,34,42,14,28,16.5,103.5,101.7,1.8,20.2,1.78,22.1,7.8,24.7,16.1,12.4,51.6,57.1,19.1,100.40,14.2
Kosta Koufos,SAC,30,42,21,21,11.9,106.0,107.4,-1.3,9.9,1.33,15.9,8.8,22.9,15.6,11.9,47.7,47.7,15.0,105.85,8.8
Nene,HOU,36,42,29,13,13.0,111.1,101.9,9.2,7.0,2.36,15.0,5.8,15.2,10.5,6.4,51.7,55.2,11.4,101.71,6.9
Ryan Broekhoff,DAL,28,42,15,27,10.8,111.2,102.8,8.3,6.9,1.38,12.9,1.7,11.3,6.5,9.4,60.3,62.1,14.0,101.01,7.5
Svi Mykhailiuk,DET,22,42,19,23,10.5,105.2,105.7,-0.5,11.0,1.76,17.9,1.9,5.5,3.8,10.1,43.2,44.7,15.7,104.70,3.9
Guerschon Yabusele,BOS,23,41,27,14,6.1,102.4,106.0,-3.6,8.8,1.00,12.8,8.4,10.4,9.4,12.8,51.3,54.2,16.8,102.49,6.8
Jon Leuer,DET,30,41,16,25,9.8,93.9,107.2,-13.3,6.0,0.61,8.6,6.2,18.2,11.8,14.2,58.8,61.6,15.7,100.45,9.1
Cameron Payne,CLE,24,40,7,33,17.8,99.5,114.8,-15.2,22.5,2.36,27.1,1.7,8.3,5.0,11.5,48.7,51.9,16.9,101.97,7.4
Caris LeVert,BKN,24,40,19,21,26.6,108.5,108.7,-0.2,23.1,2.26,20.6,3.0,10.0,6.5,9.1,47.8,50.9,23.5,102.02,10.3
Brandon Knight,CLE,27,39,17,22,18.9,102.9,114.9,-12.0,14.7,2.37,18.9,1.2,7.0,3.9,8.0,46.0,48.4,17.8,99.38,5.1
Danuel House Jr.,HOU,26,39,27,12,25.1,117.2,108.3,8.9,5.8,1.14,11.2,2.5,11.2,6.9,9.8,61.5,64.6,13.7,100.67,7.4
Isaiah Briscoe,ORL,23,39,17,22,14.3,102.8,100.9,2.0,22.6,2.81,32.6,0.8,11.1,6.0,11.6,43.8,45.5,13.9,100.12,5.7
Jevon Carter,MEM,23,39,9,30,14.8,99.8,106.7,-6.8,18.4,2.09,22.8,2.3,9.0,5.5,10.9,39.5,43.2,17.2,98.50,5.3
Frank Mason,SAC,25,38,16,22,11.5,99.5,114.0,-14.5,28.0,2.33,26.8,1.3,8.3,4.7,11.5,46.2,50.2,21.3,107.58,8.5
Grayson Allen,UTA,23,38,22,16,11.0,99.6,113.2,-13.6,10.2,0.76,9.5,0.7,4.7,2.7,12.5,46.6,51.6,23.8,103.77,3.7
J.J. Barea,DAL,35,38,20,18,19.8,109.5,106.3,3.2,45.4,2.93,30.2,1.6,10.6,6.0,10.3,46.8,49.5,26.3,102.73,13.1
Wesley Johnson,WAS,31,38,17,21,14.1,104.6,111.9,-7.3,5.4,1.28,13.1,2.0,10.4,6.2,10.2,44.9,46.9,11.5,104.91,2.9
Kenneth Faried,HOU,29,37,21,16,19.7,113.7,109.7,4.0,4.3,0.61,5.5,12.3,21.0,16.4,9.1,60.4,62.2,19.4,101.91,12.4
Raul Neto,UTA,27,37,26,11,12.8,116.1,98.6,17.5,25.1,2.66,30.5,1.4,10.5,6.4,11.5,52.2,55.8,18.4,104.55,9.6
Brad Wanamaker,BOS,29,36,27,9,9.5,106.6,97.8,8.8,22.5,2.95,29.2,0.8,9.6,5.4,9.9,55.2,59.7,16.2,102.90,10.4
Channing Frye,CLE,36,36,7,29,9.5,99.1,121.9,-22.7,10.0,1.54,12.8,1.0,15.8,7.5,8.3,50.4,52.4,17.4,98.04,5.3
Goran Dragic,MIA,33,36,16,20,27.5,108.3,107.0,1.3,25.9,2.45,24.2,1.9,8.7,5.2,9.9,47.9,51.7,22.4,102.52,9.6
Omri Casspi,MEM,31,36,14,22,14.5,104.3,103.2,1.1,7.7,1.13,11.0,3.3,18.4,10.9,9.7,58.1,60.6,17.0,100.95,11.8
Salah Mejri,DAL,33,36,13,23,11.1,104.3,108.7,-4.4,13.7,1.67,19.3,8.1,21.6,14.9,11.6,54.0,55.9,15.3,101.38,10.8
Victor Oladipo,IND,27,36,25,11,31.9,110.1,104.6,5.6,25.0,2.27,20.3,1.8,15.4,8.7,8.9,48.6,51.9,27.8,98.25,13.0
Robert Covington,MIN,28,35,20,15,34.4,108.5,106.2,2.3,5.5,0.98,9.4,2.2,12.7,7.5,9.6,54.8,58.0,15.4,101.08,8.3
Treveon Graham,BKN,25,35,19,16,20.4,109.5,107.1,2.3,6.2,2.00,13.5,2.8,10.7,6.7,6.7,43.5,45.8,12.3,104.57,3.8
Bruno Caboclo,MEM,23,34,14,20,23.5,108.4,107.5,0.9,9.1,1.32,15.0,5.0,13.7,9.3,11.4,53.3,57.1,15.0,99.94,7.8
Courtney Lee,DAL,33,34,6,28,12.6,102.3,108.6,-6.4,13.0,2.64,19.7,1.9,10.5,6.0,7.4,47.3,49.2,15.0,102.56,6.8
Ian Mahinmi,WAS,32,34,12,22,14.6,102.1,105.3,-3.2,7.3,1.19,14.1,8.8,16.1,12.3,11.9,46.6,53.1,12.8,100.63,6.8
Jaylen Adams,ATL,23,34,13,21,12.6,102.5,109.1,-6.5,20.1,2.32,31.6,2.2,10.9,6.3,13.6,45.9,47.4,13.1,106.81,5.5
Jerryd Bayless,MIN,30,34,15,19,19.3,105.0,117.4,-12.4,26.2,3.72,30.4,1.5,8.0,4.5,8.2,42.0,43.1,17.2,99.69,5.9
Jerome Robinson,LAC,22,33,18,15,9.7,107.8,111.2,-3.4,8.0,1.46,13.1,0.9,10.9,6.1,9.0,48.2,49.1,15.9,105.35,4.3
Raymond Felton,OKC,35,33,19,14,11.5,100.9,98.3,2.6,20.9,3.71,25.1,0.9,7.4,4.0,6.8,48.1,50.5,16.5,102.99,8.9
Damion Lee,GSW,26,32,18,14,11.7,102.9,108.2,-5.4,5.1,1.18,8.1,2.0,13.4,7.8,6.8,54.7,57.8,16.4,103.50,8.5
Deonte Burton,OKC,25,32,21,11,7.5,96.9,92.6,4.3,5.7,1.00,8.7,1.4,9.0,5.1,8.7,45.1,47.0,15.9,103.95,4.3
John Wall,WAS,28,32,11,21,34.5,107.0,113.2,-6.2,39.1,2.31,27.1,1.3,8.7,5.0,11.7,49.0,52.7,28.6,104.06,12.3
Robert Williams III,BOS,21,32,18,14,8.8,98.2,104.1,-5.9,4.0,0.70,9.3,8.6,16.4,12.6,13.3,70.6,70.3,10.1,102.84,11.1
Alex Abrines,OKC,25,31,21,10,19.0,101.3,99.8,1.6,4.7,1.43,10.2,0.7,6.7,3.6,7.1,48.7,50.7,12.0,104.40,4.1
Corey Brewer,SAC,33,31,13,18,15.9,106.6,106.6,0.0,10.7,2.05,19.4,4.5,9.8,7.0,9.5,48.8,53.2,13.0,104.04,6.3
DeMarcus Cousins,GSW,28,30,23,7,25.7,111.0,106.5,4.5,20.6,1.49,17.5,5.9,23.2,15.3,11.8,51.5,56.2,28.1,102.56,13.9
Isaiah Canaan,MIL,28,30,10,20,20.9,102.5,114.9,-12.3,19.4,2.40,28.7,1.0,8.6,4.7,11.9,49.4,51.8,14.7,99.68,5.7
Jacob Evans,GSW,22,30,21,9,6.8,100.0,105.9,-5.9,15.0,2.09,26.4,2.9,8.4,5.7,12.6,37.7,37.4,13.4,101.97,2.1
Keita Bates-Diop,MIN,23,30,10,20,16.8,107.1,112.2,-5.1,4.7,1.21,9.1,2.9,12.9,7.7,7.5,46.8,48.9,14.0,100.84,6.5
Pau Gasol,MIL,38,30,17,13,12.0,104.9,111.1,-6.2,20.9,3.25,28.6,5.8,30.4,18.1,8.8,47.9,52.9,15.1,103.18,13.0
Chimezie Metu,SAS,22,29,14,15,5.0,99.4,100.6,-1.3,14.0,0.87,13.8,6.1,17.9,12.1,16.0,32.8,38.9,22.3,104.79,5.2
MarShon Brooks,MEM,30,29,15,14,13.3,101.3,104.1,-2.8,11.2,1.19,10.9,3.0,8.9,5.8,9.1,49.4,51.8,23.3,97.12,8.4
Patrick McCaw,TOR,23,29,17,12,13.7,103.6,109.9,-6.4,9.9,1.71,25.0,1.7,10.5,6.1,14.7,48.4,53.2,9.3,101.97,4.9
Chris Boucher,TOR,26,28,21,7,5.8,105.5,109.7,-4.2,2.0,0.29,2.2,8.6,20.9,14.8,7.6,52.6,56.3,21.4,106.79,11.4
Isaiah Hartenstein,HOU,21,28,15,13,7.9,113.0,103.4,9.6,10.0,1.15,20.0,8.9,11.8,10.3,17.3,51.2,56.2,11.2,102.40,3.1
